"block","block_trial","event","eventn","time","et.msg"
"NGtW",14,"feedback",190,11448770,"TRIALID 1_14_2_1_0"
"NGtW",15,"face",191,11453771,"TRIALID 1_15_1_M1_0.3"
"NGtW",15,"feedback",192,11456271,"TRIALID 0_15_2_1_0"
"NGtW",16,"face",193,11461271,"TRIALID 1_16_1_M1_0.3"
"NGtW",16,"feedback",194,11463771,"TRIALID 1_16_2_1_0"
"NGtW",17,"face",195,11468772,"TRIALID 1_17_1_M1_0.3"
"NGtW",17,"feedback",196,11471272,"TRIALID 1_17_2_1_0"
"NGtW",18,"face",197,11476272,"TRIALID 1_18_1_M1_0.3"
"NGtW",18,"feedback",198,11478772,"TRIALID 1_18_2_1_0"
"NGtW",19,"face",199,11483772,"TRIALID 1_19_1_M1_0.3"
"NGtW",19,"feedback",200,11486273,"TRIALID 1_19_2_1_0"
"NGtW",20,"face",201,11491273,"TRIALID 1_20_1_M1_0.3"
"NGtW",20,"feedback",202,11493773,"TRIALID 1_20_2_1_0"
"NGtW",21,"face",203,11498773,"TRIALID 1_21_1_M1_0.3"
"NGtW",21,"feedback",204,11501273,"TRIALID 1_21_2_1_0"
"NGtW",22,"face",205,11506275,"TRIALID 1_22_1_M1_0.3"
"NGtW",22,"feedback",206,11508773,"TRIALID 1_22_2_1_0"
"NGtW",23,"face",207,11513774,"TRIALID 1_23_1_M1_0.3"
"NGtW",23,"feedback",208,11516274,"TRIALID 1_23_2_1_0"
"NGtW",24,"face",209,11521275,"TRIALID 1_24_1_M1_0.3"
"NGtW",24,"feedback",210,11523774,"TRIALID 0_24_2_1_0"
"NGtW",25,"face",211,11528775,"TRIALID 1_25_1_M1_0.3"
"NGtW",25,"feedback",212,11531274,"TRIALID 1_25_2_1_0"
"NGtW",26,"face",213,11536276,"TRIALID 1_26_1_M1_0.3"
"NGtW",26,"feedback",214,11538775,"TRIALID 1_26_2_1_0"
"NGtW",27,"face",215,11543775,"TRIALID 1_27_1_M1_0.3"
"NGtW",27,"feedback",216,11546275,"TRIALID 1_27_2_1_0"
"NGtW",28,"face",217,11551277,"TRIALID 1_28_1_M1_0.3"
"NGtW",28,"feedback",218,11553776,"TRIALID 0_28_2_1_0"
"NGtW",29,"face",219,11558776,"TRIALID 1_29_1_M1_0.3"
"NGtW",29,"feedback",220,11561276,"TRIALID 1_29_2_1_0"
"NGtW",30,"face",221,11566277,"TRIALID 1_30_1_M1_0.3"
"NGtW",30,"feedback",222,11568777,"TRIALID 0_30_2_1_0"
"NGtW",31,"face",223,11573777,"TRIALID 1_31_1_M1_0.3"
"NGtW",31,"feedback",224,11576277,"TRIALID 1_31_2_1_0"
"NGtW",32,"face",225,11581278,"TRIALID 1_32_1_M1_0.3"
"NGtW",32,"feedback",226,11583778,"TRIALID 1_32_2_1_0"
"NGtW",33,"face",227,11588778,"TRIALID 1_33_1_M1_0.3"
"NGtW",33,"feedback",228,11591278,"TRIALID 0_33_2_1_0"
"NGtW",34,"face",229,11596279,"TRIALID 1_34_1_M1_0.3"
"NGtW",34,"feedback",230,11598779,"TRIALID 1_34_2_1_0"
"NGtW",35,"face",231,11603779,"TRIALID 1_35_1_M1_0.3"
"NGtW",35,"feedback",232,11606279,"TRIALID 1_35_2_1_0"
"NGtW",36,"face",233,11611280,"TRIALID 1_36_1_M1_0.3"
"NGtW",36,"feedback",234,11613780,"TRIALID 1_36_2_1_0"
"NGtW",37,"face",235,11618780,"TRIALID 1_37_1_M1_0.3"
"NGtW",37,"feedback",236,11621280,"TRIALID 0_37_2_1_0"
"NGtW",38,"face",237,11626280,"TRIALID 1_38_1_M1_0.3"
"NGtW",38,"feedback",238,11628781,"TRIALID 1_38_2_1_0"
"NGtW",39,"face",239,11633781,"TRIALID 1_39_1_M1_0.3"
"NGtW",39,"feedback",240,11636281,"TRIALID 0_39_2_1_0"
"NGtW",40,"face",241,11641281,"TRIALID 1_40_1_M1_0.3"
"NGtW",40,"feedback",242,11643782,"TRIALID 1_40_2_1_0"
"socint_score",3,"socint_score",243,11648788,"TRIALID socint_41_3_score_25"
"NGtA",1,"face",244,11653268,"TRIALID -1_1_1_M2_0.7"
"NGtA",1,"feedback",245,11655782,"TRIALID 0_1_2_-1_0"
"NGtA",2,"face",246,11660783,"TRIALID -1_2_1_M2_0.7"
"NGtA",2,"feedback",247,11663282,"TRIALID 0_2_2_-1_1"
"NGtA",3,"face",248,11668283,"TRIALID -1_3_1_M2_0.7"
"NGtA",3,"feedback",249,11670782,"TRIALID -1_3_2_-1_1"
"NGtA",4,"face",250,11675783,"TRIALID -1_4_1_M2_0.7"
"NGtA",4,"feedback",251,11678282,"TRIALID 0_4_2_-1_0"
"NGtA",5,"face",252,11683284,"TRIALID -1_5_1_M2_0.7"
"NGtA",5,"feedback",253,11685783,"TRIALID 0_5_2_-1_0"
"NGtA",6,"face",254,11690784,"TRIALID -1_6_1_M2_0.7"
"NGtA",6,"feedback",255,11693283,"TRIALID -1_6_2_-1_0"
"NGtA",7,"face",256,11698285,"TRIALID -1_7_1_M2_0.7"
"NGtA",7,"feedback",257,11700784,"TRIALID -1_7_2_-1_1"
"NGtA",8,"face",258,11705785,"TRIALID -1_8_1_M2_0.7"
"NGtA",8,"feedback",259,11708284,"TRIALID -1_8_2_-1_0"
"NGtA",9,"face",260,11713286,"TRIALID -1_9_1_M2_0.7"
"NGtA",9,"feedback",261,11715785,"TRIALID -1_9_2_-1_1"
"NGtA",10,"face",262,11720786,"TRIALID -1_10_1_M2_0.7"
"NGtA",10,"feedback",263,11723285,"TRIALID 0_10_2_-1_1"
"NGtA",11,"face",264,11728286,"TRIALID -1_11_1_M2_0.7"
"NGtA",11,"feedback",265,11730786,"TRIALID -1_11_2_-1_1"
"NGtA",12,"face",266,11735786,"TRIALID -1_12_1_M2_0.7"
"NGtA",12,"feedback",267,11738286,"TRIALID 0_12_2_-1_0"
"NGtA",13,"face",268,11743287,"TRIALID -1_13_1_M2_0.7"
"NGtA",13,"feedback",269,11745787,"TRIALID 0_13_2_-1_0"
